iter	Logloss
164	0.2820456078
165	0.2817663886
166	0.2814233083
167	0.281347997
168	0.2809755311
169	0.2809166
170	0.2808609025
171	0.2805910123
172	0.2805349251
173	0.2803886398
174	0.2803153477
175	0.279961173
176	0.2798540277
177	0.2797273828
178	0.2796471547
179	0.2795650516
180	0.2794866848
181	0.2794000443
182	0.2793717821
183	0.279343622
184	0.2792516319
185	0.2791765719
186	0.2788571165
187	0.2788329972
188	0.2785183381
189	0.2783379865
190	0.2783058927
191	0.2782234527
192	0.2781238015
193	0.2779775933
194	0.2778491017
195	0.2777995485
196	0.2777299147
197	0.2776705018
198	0.2775879293
199	0.2773809513
200	0.277298757
201	0.2772443651
202	0.2770528295
203	0.2769587379
204	0.2768640385
205	0.2767759778
206	0.2767543913
207	0.2766564089
208	0.2765754114
209	0.2765151585
210	0.2764321946
211	0.276398355
212	0.2762904194
213	0.276240099
214	0.2761993812
215	0.2761336439
216	0.2760758713
217	0.2760397906
218	0.2759809331
219	0.2759483251
220	0.2758694244
221	0.2758464136
222	0.2757710533
223	0.2757126154
224	0.2756864015
225	0.2756188918
226	0.2755062459
227	0.2754237894
228	0.2753812963
229	0.2753462173
230	0.2752792546
231	0.2752304532
232	0.2752046058
233	0.2750209881
234	0.274982618
235	0.2749519985
236	0.2747712748
237	0.2747164435
238	0.2746717115
239	0.2746088063
240	0.2744722436
241	0.2744542144
242	0.274414633
243	0.2743890828
244	0.274305254
245	0.2742826115
246	0.2742475087
247	0.274231825
248	0.2741656216
249	0.2740945446
250	0.2738789085
251	0.2738567787
252	0.2737740255
253	0.2737300827
254	0.2736546343
255	0.2736041331
256	0.2735566605
257	0.2735137918
258	0.2734746056
259	0.2734584073
260	0.2733907211
261	0.2733220767
262	0.2732876989
263	0.2732519865
264	0.2730649525
265	0.2730273286
266	0.2729611865
267	0.2729508969
268	0.2729327246
269	0.2728737345
270	0.2727725788
271	0.2725859764
272	0.2725570741
273	0.2725432428
274	0.2725195322
275	0.2724379752
276	0.2723131611
277	0.2722610864
278	0.2722274312
279	0.2721719356
280	0.2720532612
281	0.2719895747
282	0.2719195364
283	0.2718741531
284	0.2718120806
285	0.271775306
286	0.2716994825
287	0.2716563515
288	0.2716151507
289	0.2715658642
290	0.2715510857
291	0.27148616
292	0.2714344789
293	0.2714143017
294	0.2713431841
295	0.2712949501
296	0.2712680358
297	0.2712280587
298	0.2712179489
299	0.2711846489
300	0.2711722641
301	0.2711067553
302	0.271012136
303	0.2709636799
304	0.2709111303
305	0.2708611525
306	0.2708330741
307	0.2707570057
308	0.2707040853
309	0.2706749007
310	0.2706546628
311	0.2706009374
312	0.2705503577
313	0.270525855
314	0.2704600754
315	0.2704004355
316	0.2703720501
317	0.2702568207
318	0.2702003862
319	0.2701563066
320	0.2701243507
321	0.2700672237
322	0.2700442657
323	0.2699551317
324	0.2699289229
325	0.2698677807
326	0.2698431089
327	0.2697694271
328	0.2697289436
329	0.2696552887
330	0.2696274654
331	0.2696050143
332	0.2695608968
333	0.269541958
334	0.2694627836
335	0.2694274735
336	0.269345484
337	0.2693073958
338	0.2692116793
339	0.2691962473
340	0.2691113929
341	0.2690913102
342	0.2690338277
343	0.269005993
344	0.2689971234
345	0.2689599952
346	0.2689305131
347	0.2688890108
348	0.2688667686
349	0.2688244992
350	0.2687822923
351	0.2687358188
352	0.2687039657
353	0.2686182208
354	0.268591176
355	0.2685188527
356	0.2684847601
357	0.2684625479
358	0.2684481107
359	0.2684038803
360	0.268322644
361	0.268300546
362	0.2682647467
363	0.2682333651
364	0.2681728536
365	0.2681204433
366	0.2680727698
367	0.268062961
368	0.2680340093
369	0.2680083022
370	0.2680017065
371	0.2678739249
372	0.2678399918
373	0.2677668193
374	0.267743716
375	0.2676737399
376	0.2676549349
377	0.2675907772
378	0.2675453459
379	0.2675123053
380	0.2674992558
381	0.267466183
382	0.2674425281
383	0.2673996765
384	0.2673633999
385	0.2673090782
386	0.2672695537
387	0.267261512
388	0.2672292976
389	0.2672066055
390	0.267161976
391	0.2671193216
392	0.2670414536
393	0.2670152494
394	0.2669831616
395	0.2669628236
396	0.2669446317
397	0.2669292025
398	0.2668728027
399	0.2668569416
400	0.2668311866
401	0.2667964825
402	0.2667131402
403	0.266689222
404	0.266523018
405	0.2664855888
406	0.2663431457
407	0.2663130772
408	0.2662920471
409	0.2662151073
410	0.2661824699
411	0.266160913
412	0.2661046016
413	0.2660912692
414	0.2660597387
415	0.2660242094
416	0.2659700558
417	0.2659336462
418	0.265909381
419	0.2658821961
420	0.2658669365
421	0.2658239105
422	0.2657813577
423	0.2657224198
424	0.2656638031
425	0.2656290637
426	0.2656005737
427	0.2655251146
428	0.2655174919
429	0.2654758554
430	0.2654530512
431	0.2654180838
432	0.2653639089
433	0.2653191325
434	0.2652522436
435	0.2652277938
436	0.2651977037
437	0.265178078
438	0.2651562451
439	0.2651016567
440	0.2650630177
441	0.2650105619
442	0.2649927719
443	0.26498068
444	0.2649448409
445	0.2649172995
446	0.2649108086
447	0.2648473845
448	0.2648313815
449	0.2648205666
450	0.2647787133
451	0.2647445351
452	0.2646717693
453	0.2646611335
454	0.2646379612
455	0.2645999164
456	0.2645638269
457	0.2645417016
458	0.2645044482
459	0.2644640319
460	0.2644368685
461	0.2644096127
462	0.2643974735
463	0.2643790479
464	0.2643490075
465	0.2642979232
466	0.2642757596
467	0.2642476552
468	0.2641964585
469	0.2641815388
470	0.2641662497
471	0.2641282011
472	0.264111993
473	0.2640428521
474	0.2640130918
475	0.2640053991
476	0.2639521416
477	0.2639185583
478	0.2638921082
479	0.2638398493
480	0.2638210004
481	0.263790201
482	0.2637609601
483	0.2637160254
484	0.2636941911
485	0.2636587419
486	0.2636301482
487	0.2635678862
488	0.2635218343
489	0.2634933464
490	0.2634812986
491	0.2634679541
492	0.2634406736
493	0.2634157549
494	0.2633796942
495	0.2633637233
496	0.2633341011
497	0.2633190441
498	0.2632772302
499	0.2632263938
500	0.2631582486
501	0.2630992947
502	0.2630680107
503	0.2630146669
504	0.2629689324
505	0.2629511847
506	0.2629072167
507	0.2628974127
508	0.2628756792
509	0.2628428076
510	0.2628194545
511	0.2627818448
512	0.2627710521
513	0.2627515922
514	0.2627266638
515	0.262712306
516	0.2626967136
517	0.2626877704
518	0.2626432337
519	0.2625640695
520	0.2625007946
521	0.2624814121
522	0.2624415618
523	0.2624070045
524	0.2623754727
525	0.2623617621
526	0.2623415059
527	0.2623215845
528	0.2622801797
529	0.2622402052
530	0.2622226946
531	0.2622150185
532	0.2621821993
533	0.2621671989
534	0.2620532026
535	0.2620414657
536	0.262028183
537	0.2619731875
538	0.2619142227
539	0.2619067553
540	0.2618574045
541	0.2618262173
542	0.2617908134
543	0.2617733024
544	0.2617301426
545	0.2617030498
546	0.2616674696
547	0.2616603219
548	0.2615817754
549	0.2615463153
550	0.2615150451
551	0.2614714914
552	0.2614542218
553	0.2614293232
554	0.261410217
555	0.2613777926
556	0.2613054939
557	0.2612633654
558	0.2612260593
559	0.2611759917
560	0.2611446598
561	0.2611367375
562	0.2611240245
563	0.2611028064
564	0.2610775612
565	0.2610547004
566	0.2610257157
567	0.2609970054
568	0.2609703351
569	0.2609586475
570	0.2609041425
571	0.2608942626
572	0.2608820887
573	0.2608702526
574	0.260833178
575	0.2608045365
576	0.2607794679
577	0.260749617
578	0.2607158931
579	0.2606611604
580	0.2606342196
581	0.2606053286
582	0.2605995116
583	0.2605773003
584	0.2605165019
585	0.2604979447
586	0.2604745512
587	0.2604425402
588	0.2604287968
589	0.2603890337
590	0.2603583045
591	0.2603483643
592	0.2603124817
593	0.2602820645
594	0.260257036
595	0.2602416799
596	0.260201231
597	0.2601752458
598	0.2601504852
599	0.2601060755
600	0.2600876818
601	0.2600572797
602	0.2600274844
603	0.2599956035
604	0.2599808247
605	0.2599738646
606	0.259954932
607	0.2599014649
608	0.2598820009
609	0.2598626015
610	0.2598367653
611	0.2598183817
612	0.2598028333
613	0.259775622
614	0.2597548165
615	0.2597254157
616	0.2596959443
617	0.2596889285
618	0.2596486029
619	0.2596228755
620	0.2595756687
621	0.2595596216
622	0.2595198539
623	0.2595026494
624	0.2594559036
625	0.2594376035
626	0.2594116017
627	0.2594070663
628	0.2593987391
629	0.2593712024
630	0.2593616648
631	0.2593407337
632	0.2592704324
633	0.2592471719
634	0.2592200764
635	0.2591965138
636	0.2591759929
637	0.2591506121
638	0.2591339618
639	0.2591183051
640	0.2590857174
641	0.2590631477
642	0.2590568305
643	0.2590157941
644	0.2590017657
645	0.2589876586
646	0.258948111
647	0.2589172377
648	0.2588885755
649	0.2588650862
650	0.2588252519
651	0.2588018647
652	0.2587565813
653	0.2587270053
654	0.2586950451
655	0.2586556414
656	0.2586436215
657	0.2586241234
658	0.2586045146
659	0.2585438037
660	0.2585147215
661	0.258480734
662	0.2584498578
663	0.2584282738
664	0.2583917312
665	0.2583753437
666	0.2583505287
667	0.2583267881
668	0.2583055934
669	0.2582688875
670	0.2582614236
671	0.2582405948
672	0.2582331324
673	0.2582181026
674	0.2581730401
675	0.2581653222
676	0.2581128901
677	0.2580895433
678	0.2580835366
679	0.2580457138
680	0.2579746921
681	0.2579611096
682	0.2579272386
683	0.2579071866
684	0.25789062
685	0.2578783139
686	0.2578229718
687	0.2577814652
688	0.2577320801
689	0.257727161
690	0.257708076
691	0.2576981376
692	0.2576549911
693	0.2576400627
694	0.2576020755
695	0.2574932354
696	0.2574674701
697	0.2574329465
698	0.2573887184
699	0.257343238
700	0.257295114
701	0.257262919
702	0.2572456712
703	0.2572060329
704	0.2571927521
705	0.2571722403
706	0.2571664877
707	0.2571460448
708	0.2571247084
709	0.2571121922
710	0.2571032523
711	0.2570902063
712	0.2570645029
713	0.2570400852
714	0.2570323363
715	0.2569954302
716	0.2569577466
717	0.2569193902
718	0.2568920775
719	0.256879069
720	0.2568691024
721	0.2568245388
722	0.2568131527
723	0.2567899845
724	0.2567609843
725	0.2567004808
726	0.2566744684
727	0.2566511317
728	0.2566485915
729	0.2565931544
730	0.2565661569
731	0.2565549439
732	0.2565098521
733	0.2564392501
734	0.2564009028
735	0.2563883101
736	0.2563669128
737	0.2563327182
738	0.2563165685
739	0.2563055636
740	0.2562845124
741	0.2562358483
742	0.2562181279
743	0.2562052086
744	0.2561710196
745	0.2561658599
746	0.2561263929
747	0.2561232366
748	0.2560763065
749	0.2560592924
750	0.2560463293
751	0.2560072053
752	0.2559760172
753	0.2559637052
754	0.255955887
755	0.2558957638
756	0.2558552235
757	0.2558364004
758	0.2558336776
759	0.2558070058
760	0.255782425
761	0.2557563323
762	0.2557468657
763	0.2557190868
764	0.2556970164
765	0.2556839154
766	0.2556559317
767	0.2555774
768	0.2555284902
769	0.2554889328
770	0.2554565214
771	0.2554413076
772	0.2554074374
773	0.2553752733
774	0.2553569982
775	0.255335916
776	0.2552956456
777	0.2552801391
778	0.255135971
779	0.255120284
780	0.255083129
781	0.2550640494
782	0.2550239068
783	0.2549922277
784	0.2549664705
785	0.254936145
786	0.2548815278
787	0.254859397
788	0.2548237296
789	0.2547966301
790	0.2547489164
791	0.2547343327
792	0.2547206868
793	0.2546946915
794	0.2546723963
795	0.2546365938
796	0.2546029884
797	0.2545860471
798	0.254576013
799	0.2545179263
